"title","desciption","tags"
"آموزشگاه خوشنویسی انجمن خوشنویسان (شهدا)"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی انجمن خوشنویسان (شهدا) واقع درشهر مشهد و در محله میدان شهدا است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی انجمن خوشنویسان (قاسم آباد)"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی انجمن خوشنویسان (قاسم آباد) واقع درشهر مشهد و در محله قاسم آباد (شهرک غرب) است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه تخصصی نقاشی نعیمی ثانی","<p>آموزشگاه هنرهای تجسمی نعیمی ثانی به عنوان یکی از آموزشگاه های پیشرو کشور، جهت سهیم کردن علاقمندان به هنر در چشیدن طعم لذت بخش خلاقیت هنری و آشنا کردن هنرجویان با روشهای نوین عرضه آثار هنری توسط استاد دکتر نعیمی ثانی (فوق دکترا هنرهای تجسمی) تاسیس گردیده است.&nbsp;</p>
<p>تمام تلاش استاد دکتر نعیمی ثانی بهبود آموزش های کاربردی و ایجاد دید هنری و خلاقانه در زندگی روزمره و انتقال هرچه بهتر این تجربیات و مهارت ها به هنرجویان بوده و در این خصوص نهایت تلاش خود را همواره مبذول می دارند.</p>
<p>استاد دکتر نعیمی ثانی تمام تلاش خود را جهت ارتقاء &nbsp;هنرجویان آموزشگاه نقاشی نعیمی ثانی و کسب سرتیفیکت های بین المللی از مطرح ترین آکادمی های اروپایی و همچنین در یافت مدارک معتبر کشوری می نمایند.</p>
<p>&nbsp;از جمله عضویت در مجامع هنری،دریافت بیمه هنر، هنر کارت، و کارت مربیگری و برگذاری نمایشگاه های داخلی و خارجی از اقدامات استاد دکتر نعیمی ثانی برای هنرجویان آموزشگاه نقاشی است.&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;آموزشگاه هنرهای تجسمی نعیمی ثانی در شهر مشهد در هاشیه بلوار فردوسی واقع گردیده است.</p>
<p>به علت رعایت شیوه نامه های کرونا، مراجعه فقط با وقت قبلی پذیرفته میشود.</p>
<p>جهت مشاده رزومه استاد دکتر نعیمی ثانی و همچنین نمونه آثار هنرجویان، به وب سایت رسمی &nbsp;آموزشگاه نقاشی نعیمی ثانی مراجعه نمایید.</p>","نقاشی-کلاس نقاشی-دوره نقاشی-آموزشگاه نقاشی-کلاس نقاشی -دوره نقاشی -هنر-هنری-بوم-قلم نقاشی-آموزش نقاشی-نقاشی روی پارچه-نقاشی رنگ روغن-نقاشی آبرنگ-سیاه قلم-طراحی-چهره پردازی"
"آموزشگاه نقاشی اسپهبدی","در سال  1340با نام هنرکده تاسیس گردید در سال 46 مجوز رسمی شماره  30771 - 06/04/46 آموزش وپرورش دریافت شد .

بعد از تشکیل وزارت فرهنگ وهنر پروانه بنیانگذاری آموزشگاه با شماره 7029/2 - 21/12/50 وزارت فرهنگ وهنر صادر گردید وبعد از تغییر به وزارت ارشاد اسلامی پیشنهاد بازسازی آن شد و ضمن شماره 10602-11/05/61 مدیریت کل ارشاد خراسان مجوز موسسه مورد تایید قرار گرفت و آموزش وتشکیل نمایشگاه ها وشرکت در جشنواره ها وکسب دهها رتبه ممتاز و برتر کشور برای استان خراسان وهمکاری برای برگزاری چندین جشنواره و نمایشگاه و چاپ نشریات متعدد ویژه جشنواره ها وبرگزاری جشنواره پیامبر اعظم وچاپ کتاب بهانه خلقت و بزرگداشت از هنرمندان پیشکسوت وهمکاری با فرهنگ وارشاد اسلامی و شهرداری وسازمانهای فرهنگی تا کنون ادامه یافته است.

ودارای پنج آتلیه آموزشی است با فضائی بیش از ششصد متر مربع + کتابخانه با حدود بیش از یکهزار وپانصد جلد کتاب تخصصی وعمومی و تجهیزات آموزشی تئوری – عملی- بصری و با گلخانه در فضای باز برای کار از طبیعت وبیش از سه هزار آثار آکادمیک طراحی – نقاشی-گرافیک – کاریکاتور نمایشگاهی وبعنوان یک مرکز آموزشی غیردولتی نمونه در کشور شناخته شده است وبارها مورد بازدید مدیران مرکزی کشور واستان و واساتید دانشگاههای تهران واستانها وصاحب نظران وهنرمندان بزرگ کشور قرار گرفته وبعنوان مرکز نمونه تایید گردیده است. آموزشگاه نقاشی اسپهبدی واقع در شهر مشهد و در محله احمد آباد میباشد.","کلاس نقاشی-آموزش نقاشی-کلاس رنگ روغن-کلاس گواش-کلاس آبرنگ-کلاس طراحی سیاه قلم-کلاس نقاشی با مداد"
"آموزشگاه نقاشی امید( شماره اشتباه)","<h4 style=""text-align: center;"">نقاشی - طراحی - سیاه قلم</h4>","نقاشی-کلاس نقاشی-دوره نقاشی-آموزشگاه نقاشی-کلاس نقاشی مشهد-دوره نقاشی مشهد-هنر-هنری-بوم-قلم نقاشی-آموزش نقاشی-نقاشی روی پارچه-نقاشی رنگ روغن-نقاشی آبرنگ-سیاه قلم-طراحی-چهره پردازی-"
"آموزشگاه هنرهای تجسمی آبی خاکستری","آموزشگاه هنرهای تجسمی فوق جهت سهیم کردن علاقمندان به هنر در چشیدن طعم لذت بخش خلاقیت هنری و آشنا کردن هنرجویان با روشهای نوین عرضه آثار هنری توسط جمعی از دانش آموختگان رشته هنر تاسیس گردیده است.
 تمام تلاش اساتید حرفه‌ای مجموعه طراحی آموزش های کاربردی و ایجاد دید هنری و خلاقانه در زندگی روزمره و انتقال هرچه بهتر این تجربیات و مهارت ها به هنرجویان بوده و در این خصوص نهایت تلاش خود را مبذول داشته اند. آموزشگاه هنرهای تجسمی آبی خاکستری واقع در شهر مشهد و در محله راهنمایی است.","کلاس سفالگری-کلاس هنرهای تجسمی-کلاس مجسمه سازی-آموزش ویترای"
"آموزشگاه نقاشی آذرنور","<p>آموزشگاه نقاشی فوق از بهترین برگزار کنندگان کلاس های تخصصی آموزش نقاشی و طراحی بوده و در زمینه طراحی با مداد، طراحی چهره، رنگ و روغن، مداد رنگی و سیاه قلم دوره&zwnj;های آموزشی برگزار می کند. این آموزشگاه با به کارگیری بهترین اساتید و امکانات و استفاده از روش های نوین تدریس از مراکز موفق در پرورش هنرجویان علاقمند به نقاشی می باشد. آموزشگاه نقاشی آذرنور واقع در شهر مشهد میباشد.</p>","کلاس نقاشی-آموزش نقاشی-کلاس رنگ روغن-کلاس گواش-کلاس آبرنگ-کلاس طراحی سیاه قلم-کلاس نقاشی با مداد"
"آموزشگاه نقاشی آرنگ","آموزشگاه نقاشی فوق از بهترین برگزار کنندگان کلاس های تخصصی آموزش نقاشی و طراحی بوده و در زمینه طراحی با مداد، طراحی چهره، رنگ و روغن، مداد رنگی و سیاه قلم دوره‌های آموزشی برگزار می کند.
 این آموزشگاه با به کارگیری بهترین اساتید و امکانات و استفاده از روش های نوین تدریس از مراکز موفق در پرورش هنرجویان علاقمند به نقاشی می باشد. آموزشگاه نقاشی آرنگ واقع در شهر مشهد میباشد.","کلاس نقاشی-آموزش نقاشی-کلاس رنگ روغن-کلاس گواش-کلاس آبرنگ-کلاس طراحی سیاه قلم-کلاس نقاشی با مداد"
"آموزشگاه نقاشی آسیایی","<p>آموزشگاه نقاشی آسیایی یکی از بهترین برگزار کنندگان کلاس های تخصصی آموزش نقاشی و طراحی بوده که در محدوده پیروزی - دلاوران مشهد قرار دارد. آموزشگاه آسیایی در زمینه طراحی با مداد، طراحی چهره، رنگ روغن، مداد رنگی و سیاه قلم دوره&zwnj;های آموزشی برگزار می کند. این آموزشگاه با به کارگیری بهترین اساتید و امکانات و استفاده از روش های نوین تدریس از مراکز موفق در پرورش هنرجویان علاقمند به نقاشی می&zwnj;باشد. آموزشگاه نقاشی آسیایی با مدیریت آقای گودآسیایی اداره می&zwnj;شود. از جمله فعالیت&zwnj;های ایشان می&zwnj;توان به برگزاری نمایشگاه نقاشی انفرادی در شهرهای مختلف اشاره کرد: خانه هنر(سبزوار 1376)، اداره ارشاد(تایباد 1378)، فرهنگسرا(سبزوار 1379)، کویت(1380)، قطر(1380)، ابوظبی(1380)، نمایشگاه بین المللی(مشهد 1382)، مجتمع امام رضا(مشهد 1386)، نمایشگاه بین المللی(مشهد 1389)، نگار خانه آیه(تهران 1389). علاوه بر نمایشگاه&zwnj;های فردی، ایشان در دو نمایشگاه گروهی نیز شرکت داشتند: مجتمع امام رضا با جمعی از پیشکسوتان(مشهد 1377)، نگارخانه صبا(تهران 1388)</p>
<p>از مدیر مجموعه بشنوید: ""اولین بار در یک بهمن قدم در دنیای خاکی آدمها گذاشتم.دیارم سبزوار بود.نامم را حسین نهادند و شهرتم را از پدر به ارث بردم و گودآسیایی(آسیایی)نام گرفتم... نوجوانی ام را با خطاطی گذراندم و 10 سال بر صفحه ی سفید کاغذ خط نوشتم.جوانی بود و شوق و التهابش که رنگ و قلم التیام غم ها و شادی هایم شد. نقاشی را با روزی 16 ساعت کار شروع کردم و هر روز عطشم برای یادگیری بیشتر و بیشتر میشد... در نقاشی به سبک های زیادی علاقمند بودم که از آن جمله میتوان به: رئالیسم، باروک، کلاسیک، امپرسیونیسم اشاره کرد و امروزه بیشتر نقاشی هایم را با تلفیق سبکهای مختلف و رنگ های سرد و گرم به تصویر می کشم. 20سال سابقه ی کاریم عشق به نقاشی بود و در این راه هیچ گاه سیراب نگشتم. در 14سالی که آموزشگاه داشتم هنرجویان زیادی را پروردم.که امروز تعداد زیادی از آنها به جایگاه بالایی از هنر دست یافته اند. حاصل سالها تلاشم در نقاشی نمایشگاههایی بود در شهر های مختلف. یک چند به کودکی استاد شدیم، یک چند به استادی خود شاد شدیم، پایان سخن شنو که ما را چه رسید، از خاک درآمدیم و بر باد شدیم"".</p>
<p>&nbsp;</p>","کلاس نقاشی-آموزش نقاشی-کلاس رنگ روغن-کلاس گواش-کلاس آبرنگ-کلاس طراحی سیاه قلم-کلاس نقاشی با مداد"
"مجموعه فرهنگی بوم سپید","نقاشی، خوشنویسی، گلسازی، رزین، انیمیشن سازی
دوره های آموزشی اختصاصی کودکان برای پرورش ذهن بوسیله انواع هنر های مختلف T.M.A
 نقاشی روی پارچه، نقاشی رنگ روغن و... 
 خوشنویسی با خودکار 
 و... ","کلاس نقاشی-کلاس خوشنویسی-کلاس گلسازی-کلاس رزین-کلاس انیمیشن سازی-کارگاه موسیقی-کارگاه قصه گویی"
"آموزشگاه نقاشی بهاران (برنداشتند)","<h4 style=""text-align: center;"">نقاشی</h4>","نقاشی-کلاس نقاشی-دوره نقاشی-آموزشگاه نقاشی-کلاس نقاشی مشهد-دوره نقاشی مشهد-هنر-هنری-بوم-قلم نقاشی-آموزش نقاشی-نقاشی روی پارچه-نقاشی رنگ روغن-نقاشی آبرنگ-سیاه قلم-طراحی-چهره پردازی-"
"آموزشگاه نقاشی پنجره هنر (درحال جابجایی)","<h4 style=""text-align: center;"">نقاشی</h4>","نقاشی-کلاس نقاشی-دوره نقاشی-آموزشگاه نقاشی-کلاس نقاشی مشهد-دوره نقاشی مشهد-هنر-هنری-بوم-قلم نقاشی-آموزش نقاشی-نقاشی روی پارچه-نقاشی رنگ روغن-نقاشی آبرنگ-سیاه قلم-طراحی-چهره پردازی-"
"آموزشگاه هنرهای تجسمی پندار(جمع کرده است)","<h4 style=""text-align: center;"">آموزشگاه هنرهای تجسمی</h4>","هنرهای تجسمی-تجسمی-هنر-کلاس هنری-کلاس هنرهای تجسمی-سفالگری-اوریگامی-ویترای-هنر-خلاقیت"
"آموزشگاه نقاشی تاش (شماره ها اشتباه)","<h4 style=""text-align: center;"">نقاشی</h4>
<p>&nbsp;</p>","نقاشی-کلاس نقاشی-دوره نقاشی-آموزشگاه نقاشی-کلاس نقاشی مشهد-دوره نقاشی مشهد-هنر-هنری-بوم-قلم نقاشی-آموزش نقاشی-نقاشی روی پارچه-نقاشی رنگ روغن-نقاشی آبرنگ-سیاه قلم-طراحی-چهره پردازی-"
"آموزشگاه هنرهای تجسمی تجسم","آموزشگاه هنرهای تجسمی فوق جهت سهیم کردن علاقمندان به هنر در چشیدن طعم لذت بخش خلاقیت هنری و آشنا کردن هنرجویان با روشهای نوین عرضه آثار هنری توسط جمعی از دانش آموختگان رشته هنر تاسیس گردیده است.
 تمام تلاش اساتید حرفه‌ای مجموعه طراحی آموزش های کاربردی و ایجاد دید هنری و خلاقانه در زندگی روزمره و انتقال هرچه بهتر این تجربیات و مهارت ها به هنرجویان بوده و در این خصوص نهایت تلاش خود را مبذول داشته اند. آموزشگاه هنرهای تجسمی تجسم واقع در شهر مشهد و در محله امامت است.","کلاس سفالگری-کلاس هنرهای تجسمی-کلاس مجسمه سازی-آموزش ویترای"
"آموزشگاه هنرهای سنتی خادمی","<p>خوشنویسی</p>","سنتی-هنر های سنتی-کلاس هنر سنتی-دوره هنر های سنتی-گلیم بافی-حصیربافی-جاجیم بافی-گیوه بافی-نمد دوزی-قالی بافی-فرش بافی-نمد مالی-"
"آموزشگاه خوشنویسی ایرج میرزا"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی ایرج میرزا واقع درشهر مشهد و در محله وکیل آباد است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی پازیریک"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی پازیریک واقع درشهر مشهد و در محله فرامرز عباسی است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی دلشدگان"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی دلشدگان واقع درشهر مشهد و در محله پیروزی است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی ذوالریاستین"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی ذوالریاستین واقع درشهر مشهد و در محله امام خمینی است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
